
CR_ID,EQ_ID,Data_Date,EQ_NO,Reading_Time,Reading_Value,Working_Flow,Standard_Flow,Working_Sum,Pressure,Temperature,Standard_Sum,TENANT_ID
19012100011340319422,201901141728344420103096709946,2019-01-20 22:00:00,818120198068,21/1/2019 00:01:13,0,0.0,0.0,3.8221,102.6563,4.1875,3.9384,263
19012100011340319423,201901141728344420103096709946,2019-01-20 23:00:00,818120198068,21/1/2019 00:01:13,0,0.0,0.0,3.8221,102.6953,3.9375,3.9384,263
19012100011340319424,201901141728344420103096709946,2019-01-21 00:00:00,818120198068,21/1/2019 00:01:13,0,0.0,0.0,3.8221,102.6563,3.6875,3.9384,263
19012107591540544003,201901141728344420103096709946,2019-01-21 01:00:00,818120198068,21/1/2019 07:59:15,0,0.0,0.0,3.8221,102.625,3.3125,3.9384,263
19012107591540544004,201901141728344420103096709946,2019-01-21 02:00:00,818120198068,21/1/2019 07:59:15,0,0.0,0.0,3.8221,102.6563,3.125,3.9384,263
19012107591540544005,201901141728344420103096709946,2019-01-21 03:00:00,818120198068,21/1/2019 07:59:15,0,0.0,0.0,3.8221,102.5625,2.75,3.9384,263
19012107591540544006,201901141728344420103096709946,2019-01-21 04:00:00,818120198068,21/1/2019 07:59:15,0,0.0,0.0,3.8221,102.4063,2.0625,3.9384,263
19012107592340544007,201901141728344420103096709946,2019-01-21 05:00:00,818120198068,21/1/2019 07:59:24,0,0.0,0.0,3.8221,102.3594,1.5,3.9384,263
19012107592340544008,201901141728344420103096709946,2019-01-21 06:00:00,818120198068,21/1/2019 07:59:24,0,0.0,0.0,3.8221,102.3203,0.9375,3.9384,263
19012107592340544009,201901141728344420103096709946,2019-01-21 07:00:00,818120198068,21/1/2019 07:59:24,0,0.0,0.0,3.8221,102.2891,0.5,3.9384,263
19012107592340544010,201901141728344420103096709946,2019-01-21 08:00:00,818120198068,21/1/2019 07:59:24,0,0.0,0.0,3.8221,102.3047,0.0625,3.9384,263
19012207591540789797,201901141728344420103096709946,2019-01-21 09:00:00,818120198068,22/1/2019 07:59:15,0,0.0,0.0,3.8221,102.5156,0.3125,3.9384,263
19012207591540789798,201901141728344420103096709946,2019-01-21 10:00:00,818120198068,22/1/2019 07:59:15,0,0.0,0.0,3.8221,102.7266,1.125,3.9384,263
19012207591540789799,201901141728344420103096709946,2019-01-21 11:00:00,818120198068,22/1/2019 07:59:16,0,0.0,0.0,3.8221,103.0625,2.625,3.9384,263
19012207591540789800,201901141728344420103096709946,2019-01-21 12:00:00,818120198068,22/1/2019 07:59:16,0,0.0,0.0,3.8221,103.3828,5.0,3.9384,263
19012207592340789801,201901141728344420103096709946,2019-01-21 13:00:00,818120198068,22/1/2019 07:59:23,0,0.0,0.0,3.8221,103.3828,7.125,3.9384,263
